							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	33		0.5	1.0	00:00:11.37	00:10:00.53	5181.706244503079	-98.10667243934525	
	10	3	33		1.0	0.66	00:00:03.49	00:00:09.13	161.60458452722065	-61.77437020810515	
	10	3	33		1.0	1.0	00:00:03.53	00:00:03.92	11.048158640226632	-9.948979591836737	
	10	3	33		0.0	0.0	00:01:16.80	00:13:36.84	963.5937500000001	-90.59791391214927	
	10	4	33		1.0	0.33	00:00:18.28	00:06:20.06	1979.1028446389494	-95.19023312108614	
	10	4	33		0.5	0.66	00:00:08.97	00:04:37.30	2991.415830546265	-96.76523620627478	
	10	3	33		0.5	0.66	00:00:06.88	00:02:54.68	2438.9534883720935	-96.06136936111747	
	10	4	33		0.0	0.0	00:00:21.37	00:22:09.91	6123.256902199346	-98.39312434676032	
	10	4	33		0.5	0.33	00:00:15.50	00:11:49.30	4476.129032258064	-97.81474693359651	
	10	3	33		0.5	1.0	00:00:09.19	00:03:48.62	2387.704026115343	-95.98022920129473	
	10	4	33		1.0	0.66	00:00:05.50	00:00:18.58	237.81818181818178	-70.39827771797633	
	10	3	33		1.0	0.33	00:00:09.15	00:05:09.65	3284.153005464481	-97.04505086387857	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33	100	1.0	1.0	00:00:32.45	00:00:32.60	0.4622496147919833	-0.4601226993864987	
	10	3	33	100	0.5	0.33	00:00:45.98	00:08:56.81	1067.4858634188777	-91.4345857938563	
	10	4	33	100	0.5	1.0	00:00:35.17	00:10:24.33	1675.1777082740975	-94.36676116797207	
	10	3	33	100	1.0	0.66	00:00:28.41	00:00:35.53	25.06159802886308	-20.03940332113707	
	10	3	33	100	1.0	1.0	00:00:34.10	00:00:34.01	-0.2639296187683384	0.26462805057337085	
	10	3	33	100	0.0	0.0	00:04:17.16	00:14:15.72	232.75781614559023	-69.94811386902256	
	10	4	33	100	1.0	0.33	00:00:45.14	00:06:47.68	803.1457687195392	-88.927590266876	
	10	4	33	100	0.5	0.66	00:00:32.28	00:05:04.68	843.8661710037173	-89.40527766837336	
	10	3	33	100	0.5	0.66	00:00:28.76	00:03:16.28	582.4756606397774	-85.34746280823315	
	10	4	33	100	0.0	0.0	00:00:57.26	00:22:46.82	2287.041564792176	-95.81071391990167	
	10	4	33	100	0.5	0.33	00:00:38.44	00:12:17.76	1819.2507804370446	-94.78963348514421	
	10	3	33	100	0.5	1.0	00:00:35.64	00:04:10.89	603.956228956229	-85.79457132607916	
	10	4	33	100	1.0	0.66	00:00:34.21	00:00:39.55	15.609470914937143	-13.50189633375473	
	10	3	33	100	1.0	0.33	00:00:31.21	00:05:36.03	976.6741429029157	-90.71213879713122	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33		1.0	1.0	00:00:32.45	00:00:32.60	0.4449885628475954	-0.4430171870338457	
	10	3	33		0.5	0.33	00:00:45.98	00:08:56.81	1067.4240688198458	-91.43413240562272	
	10	4	33		0.5	1.0	00:00:35.17	00:10:24.33	1675.24160797097	-94.36696393600779	
	10	3	33		1.0	0.66	00:00:28.41	00:00:35.53	25.08511252176382	-20.05443494916248	
	10	3	33		1.0	1.0	00:00:34.10	00:00:34.01	-0.2575509866870284	0.25821602460618565	
	10	3	33		0.0	0.0	00:04:17.16	00:14:15.72	232.75220917001676	-69.94760748563328	
	10	4	33		1.0	0.33	00:00:45.14	00:06:47.68	803.1135697288111	-88.92719549878669	
	10	4	33		0.5	0.66	00:00:32.28	00:05:04.68	843.8363532712868	-89.4049429592953	
	10	3	33		0.5	0.66	00:00:28.76	00:03:16.28	582.5566565873565	-85.34920155932849	
	10	4	33		0.0	0.0	00:00:57.26	00:22:46.82	2287.010866544873	-95.81066004342297	
	10	4	33		0.5	0.33	00:00:38.44	00:12:17.76	1819.0265078378654	-94.78902456054824	
	10	3	33		0.5	1.0	00:00:35.64	00:04:10.89	603.8604214521441	-85.79263772301778	
	10	4	33		1.0	0.66	00:00:34.21	00:00:39.55	15.632947823469623	-13.519458007189764	
	10	3	33		1.0	0.33	00:00:31.21	00:05:36.03	976.8458700097837	-90.7136199538852	
