						ACO			
Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	
10	3	21	400	1.0	0.5	00:03:12.14	
10	3	21	300	1.0	0.5	00:03:13.83	
10	2	21	100	0.75	0.5	00:02:42.70	
10	2	21	200	0.75	0.5	00:02:35.88	
10	2	21	500	0.75	0.5	00:03:11.83	
10	2	21	400	0.75	0.5	00:02:41.74	
10	2	21	300	0.75	0.5	00:02:36.82	
10	3	21	100	1.0	1.0	00:00:08.63	
10	3	21	200	1.0	1.0	00:00:08.55	
10	3	21	500	1.0	1.0	00:00:08.18	
10	3	21	400	1.0	1.0	00:00:07.98	
10	3	21	300	1.0	1.0	00:00:08.40	

AVG MISSION SCHEDULER COMPUTING TIME
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21		0.75	0.5	00:03:01.66	
10	2	21		1.0	0.5	00:02:55.41	
10	3	21		0.75	1.0	00:00:44.52	
10	2	21		0.75	1.0	00:00:55.47	
10	2	21		0.0	0.0	00:04:00.34	
10	3	21		0.0	0.0	00:05:33.02	
10	2	21		1.0	1.0	00:00:33.60	
10	3	21		1.0	0.5	00:03:18.72	
10	2	21		0.75	0.5	00:02:45.79	
10	3	21		1.0	1.0	00:00:08.35	

OVERALL EXECUTION TIME
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21	100	0.75	0.5	00:03:51.93	
10	3	21	200	0.75	0.5	00:03:35.54	
10	3	21	500	0.75	0.5	00:03:09.94	
10	3	21	400	0.75	0.5	00:03:14.49	
10	3	21	300	0.75	0.5	00:03:04.98	
10	2	21	100	1.0	0.5	00:03:20.49	
10	2	21	200	1.0	0.5	00:03:09.74	
10	2	21	500	1.0	0.5	00:03:12.92	
10	2	21	400	1.0	0.5	00:03:13.59	
10	2	21	300	1.0	0.5	00:03:12.99	
10	3	21	100	0.75	1.0	00:01:00.72	
10	3	21	200	0.75	1.0	00:01:04.13	
10	3	21	500	0.75	1.0	00:01:05.71	
10	3	21	400	0.75	1.0	00:01:02.65	
10	3	21	300	0.75	1.0	00:01:04.66	
10	2	21	100	0.75	1.0	00:01:06.75	
10	2	21	200	0.75	1.0	00:01:16.95	
10	2	21	500	0.75	1.0	00:01:15.73	
10	2	21	400	0.75	1.0	00:01:04.63	
10	2	21	300	0.75	1.0	00:01:14.12	
10	2	21	100	0.0	0.0	00:08:26.87	
10	2	21	200	0.0	0.0	00:04:10.47	
10	2	21	500	0.0	0.0	00:04:16.26	
10	2	21	400	0.0	0.0	00:04:55.57	
10	2	21	300	0.0	0.0	00:03:29.69	
10	3	21	100	0.0	0.0	00:06:07.30	
10	3	21	200	0.0	0.0	00:06:05.95	
10	3	21	500	0.0	0.0	00:05:33.09	
10	3	21	400	0.0	0.0	00:05:46.01	
10	3	21	300	0.0	0.0	00:05:49.52	
10	2	21	100	1.0	1.0	00:00:53.84	
10	2	21	200	1.0	1.0	00:00:53.66	
10	2	21	500	1.0	1.0	00:00:53.49	
10	2	21	400	1.0	1.0	00:00:53.58	
10	2	21	300	1.0	1.0	00:00:50.55	
10	3	21	100	1.0	0.5	00:03:35.55	
10	3	21	200	1.0	0.5	00:03:47.39	
10	3	21	500	1.0	0.5	00:03:44.21	
10	3	21	400	1.0	0.5	00:03:30.09	
10	3	21	300	1.0	0.5	00:03:35.90	
10	2	21	100	0.75	0.5	00:03:03.08	
10	2	21	200	0.75	0.5	00:02:54.69	
10	2	21	500	0.75	0.5	00:03:31.44	
10	2	21	400	0.75	0.5	00:03:00.36	
10	2	21	300	0.75	0.5	00:02:54.51	
10	3	21	100	1.0	1.0	00:00:31.14	
10	3	21	200	1.0	1.0	00:00:30.75	
10	3	21	500	1.0	1.0	00:00:28.58	
10	3	21	400	1.0	1.0	00:00:27.32	
10	3	21	300	1.0	1.0	00:00:29.59	

AVG OVERALL EXECUTION TIME
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21		0.75	0.5	00:03:23.37	
10	2	21		1.0	0.5	00:03:13.95	
10	3	21		0.75	1.0	00:01:03.58	
10	2	21		0.75	1.0	00:01:11.64	
10	2	21		0.0	0.0	00:05:03.77	
10	3	21		0.0	0.0	00:05:52.37	
10	2	21		1.0	1.0	00:00:53.02	
10	3	21		1.0	0.5	00:03:38.63	
10	2	21		0.75	0.5	00:03:04.82	
10	3	21		1.0	1.0	00:00:29.48	
