							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	300	0.0	0.0	6719.506	00:17:09.00	7	00:00:06.98	00:00:23.54	6705.445	00:16:00.00	6	00:03:33.61	00:03:51.54	6457.646	00:18:42.00	9	00:00:09.59	00:00:26.00	6462.91	00:18:40.00	9	00:04:17.18	00:04:33.39	6719.506	00:17:09.00	7	00:00:07.52	00:00:25.24	6705.445	00:16:00.00	6	00:02:54.65	00:03:11.06	6656.982	00:18:31.00	6	00:01:13.03	00:01:31.86	
	10	3	21	400	1.0	1.0	8311.859	00:07:04.00	4	00:00:03.40	00:00:24.31	8311.859	00:07:04.00	4	00:00:07.62	00:00:25.55	7981.452	00:07:31.00	4	00:00:03.67	00:00:24.52	7880.685	00:07:04.00	4	00:00:07.99	00:00:25.50	8311.859	00:07:04.00	4	00:00:03.67	00:00:25.78	8311.859	00:07:04.00	4	00:00:08.13	00:00:28.72	8099.733	00:05:40.00	6	00:00:29.52	00:00:51.58	
	10	2	21	400	1.0	1.0	7773.955	00:30:23.00	7	00:00:03.66	00:00:19.80	7298.471	00:35:20.00	9	00:00:32.77	00:00:51.95	7183.685	00:18:42.00	6	00:00:03.14	00:00:22.40	7287.523	00:25:27.00	9	00:00:24.86	00:00:44.48	7773.955	00:30:23.00	7	00:00:03.88	00:00:23.80	7298.471	00:35:20.00	9	00:00:32.36	00:00:47.92	7707.131	00:23:02.00	7	00:00:29.51	00:00:50.40	
	10	3	21	100	0.5	0.66	6842.021	00:14:58.00	5	00:00:09.02	00:00:24.22	6791.246	00:10:32.00	5	00:04:16.31	00:04:35.22	6319.406	00:10:43.00	5	00:00:11.26	00:00:25.55	6319.406	00:10:43.00	5	00:05:38.73	00:05:57.22	6842.021	00:14:58.00	5	00:00:11.60	00:00:30.32	6791.246	00:10:32.00	5	00:04:15.77	00:04:34.87	7181.518	00:07:41.00	4	00:00:56.75	00:01:18.31	
	10	2	21	400	0.5	1.0	6673.493	00:23:35.00	5	00:00:07.77	00:00:25.68	6797.674	00:22:40.00	5	00:02:03.68	00:02:20.63	6790.378	00:18:43.00	6	00:00:08.84	00:00:26.98	6673.493	00:23:35.00	5	00:02:04.65	00:02:22.80	6673.493	00:23:35.00	5	00:00:07.72	00:00:25.51	6797.674	00:22:40.00	5	00:02:03.48	00:02:19.17	7658.105	00:20:48.00	8	00:00:49.50	00:01:10.22	
	10	3	21	500	0.5	1.0	7565.572	00:07:08.00	4	00:00:10.42	00:00:30.98	7564.537	00:07:04.00	4	00:02:31.03	00:02:52.22	7320.634	00:07:31.00	4	00:00:11.04	00:00:30.52	7204.127	00:07:04.00	4	00:02:54.61	00:03:13.29	7565.572	00:07:08.00	4	00:00:09.83	00:00:29.36	7564.537	00:07:04.00	4	00:02:30.75	00:02:46.83	7709.305	00:05:04.00	5	00:00:41.09	00:01:01.14	
	10	2	21	200	1.0	0.33	6719.506	00:17:09.00	7	00:00:10.58	00:00:29.95	6705.445	00:16:00.00	6	00:03:21.15	00:03:36.55	6462.91	00:18:40.00	9	00:00:12.79	00:00:31.21	6347.528	00:18:12.00	9	00:04:03.05	00:04:17.23	6719.506	00:17:09.00	7	00:00:09.03	00:00:26.02	6705.445	00:16:00.00	6	00:03:18.90	00:03:34.79	6607.844	00:18:47.00	6	00:00:59.91	00:01:20.26	
	10	3	21	500	1.0	1.0	8311.859	00:07:04.00	4	00:00:03.51	00:00:24.63	8311.859	00:07:04.00	4	00:00:07.59	00:00:25.38	7981.452	00:07:31.00	4	00:00:03.51	00:00:23.56	7880.685	00:07:04.00	4	00:00:08.43	00:00:27.84	8311.859	00:07:04.00	4	00:00:03.54	00:00:25.15	8311.859	00:07:04.00	4	00:00:08.30	00:00:29.30	8099.733	00:05:40.00	6	00:00:24.22	00:00:43.81	
	10	3	21	300	1.0	0.66	7219.131	00:07:02.00	2	00:00:07.47	00:00:26.95	7219.131	00:07:02.00	2	00:03:07.82	00:03:27.17	6776.334	00:07:02.00	2	00:00:08.72	00:00:28.81	7027.668	00:04:08.00	4	00:02:15.13	00:02:31.21	7219.131	00:07:02.00	2	00:00:08.13	00:00:29.07	7219.131	00:07:02.00	2	00:03:08.46	00:03:24.42	7493.702	00:04:14.00	5	00:00:36.82	00:00:58.76	
	10	3	21	500	0.5	0.33	7522.042	00:06:33.00	5	00:00:15.34	00:00:36.30	7305.495	00:04:13.00	4	00:07:54.42	00:08:13.47	6829.101	00:04:11.00	4	00:00:17.92	00:00:36.37	6959.208	00:04:11.00	4	00:09:29.83	00:09:46.25	7522.042	00:06:33.00	5	00:00:15.18	00:00:35.90	7305.495	00:04:13.00	4	00:07:40.87	00:07:58.15	7135.212	00:05:27.00	4	00:00:56.90	00:01:17.06	
