							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	33	100	0.0	0.0	00:04:22.28	00:08:52.84	103.15693152356265	-50.776968696043845	
	10	2	33	200	0.0	0.0	00:00:55.23	00:09:13.09	901.4303820387472	-90.01428338968341	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33		0.5	1.0	00:00:47.49	00:03:38.62	360.3740405030778	-78.27853197571173	
	10	2	33		1.0	0.33	00:00:51.86	00:05:30.22	536.7873207883715	-84.29616973588678	
	10	2	33		0.5	0.33	00:00:52.23	00:06:31.50	649.5487160986713	-86.65863901141873	
	10	2	33		1.0	0.66	00:00:41.61	00:01:14.26	78.48717364583676	-43.973565182658426	
	10	2	33		0.5	0.66	00:00:50.57	00:03:18.79	293.0855831720749	-74.56024736571817	
	10	2	33		1.0	1.0	00:00:41.59	00:00:44.00	5.77335694464497	-5.458233634077036	
	10	2	33		0.0	0.0	00:02:38.75	00:09:02.96	242.01996719103914	-70.76194094125977	
