							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	42	200	1.0	0.33	13563.662	
	10	2	42	500	1.0	0.33	13563.662	
	10	2	42	400	1.0	0.33	13563.662	
	10	2	42	300	1.0	0.33	13563.662	
	10	2	42	100	0.5	0.33	13814.495	
	10	2	42	200	0.5	0.33	13814.495	
	10	2	42	500	0.5	0.33	13814.495	
	10	2	42	400	0.5	0.33	13814.495	
	10	2	42	300	0.5	0.33	13814.495	
	10	3	42	100	1.0	0.33	14092.349	
	10	3	42	200	1.0	0.33	14092.349	
	10	3	42	500	1.0	0.33	14092.349	
	10	3	42	400	1.0	0.33	14092.349	
	10	3	42	300	1.0	0.33	14092.349	
	10	4	42	100	0.5	0.33	13961.573	
	10	4	42	200	0.5	0.33	13961.573	
	10	4	42	500	0.5	0.33	13961.573	
	10	4	42	400	0.5	0.33	13961.573	
	10	4	42	300	0.5	0.33	13961.573	
	10	3	42	100	0.5	0.33	14343.856	
	10	3	42	200	0.5	0.33	14343.856	
	10	3	42	500	0.5	0.33	14343.856	
	10	3	42	400	0.5	0.33	14343.856	
	10	3	42	300	0.5	0.33	14343.856	
	10	2	42	100	1.0	0.66	13563.662	
	10	2	42	200	1.0	0.66	13563.662	
	10	2	42	500	1.0	0.66	13563.662	
	10	2	42	400	1.0	0.66	13563.662	
	10	2	42	300	1.0	0.66	13563.662	
	10	4	42	100	0.5	1.0	13852.972	
	10	4	42	200	0.5	1.0	13852.972	
	10	4	42	500	0.5	1.0	13852.972	
	10	4	42	400	0.5	1.0	13852.972	
	10	4	42	300	0.5	1.0	13852.972	
	10	4	42	100	0.5	0.66	13803.457	
	10	4	42	200	0.5	0.66	13803.457	
	10	4	42	500	0.5	0.66	13803.457	
	10	4	42	400	0.5	0.66	13803.457	
	10	4	42	300	0.5	0.66	13803.457	
	10	3	42	100	0.5	0.66	13463.894	
	10	3	42	200	0.5	0.66	13463.894	
	10	3	42	500	0.5	0.66	13463.894	
	10	3	42	400	0.5	0.66	13463.894	
	10	3	42	300	0.5	0.66	13463.894	
	10	3	42	100	0.0	0.0	14106.123	
	10	3	42	200	0.0	0.0	14106.123	
	10	3	42	500	0.0	0.0	14106.123	
	10	3	42	400	0.0	0.0	14106.123	
	10	3	42	300	0.0	0.0	14106.123	
	10	2	42	100	0.0	0.0	13572.761	
	10	2	42	200	0.0	0.0	13572.761	
	10	2	42	500	0.0	0.0	13572.761	
	10	2	42	400	0.0	0.0	13572.761	
	10	2	42	300	0.0	0.0	13572.761	
	10	4	42	100	1.0	0.66	14409.902	
	10	4	42	200	1.0	0.66	14409.902	
	10	4	42	500	1.0	0.66	14409.902	
	10	4	42	400	1.0	0.66	14409.902	
	10	4	42	300	1.0	0.66	14409.902	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	3	42		1.0	0.66	14092.348999999998	
	10	4	42		1.0	1.0	14409.901999999998	
	10	3	42		0.5	1.0	14177.562	
	10	3	42		1.0	1.0	14146.602000000003	
	10	2	42		0.5	1.0	13816.626	
	10	4	42		1.0	0.33	14409.901999999998	
	10	2	42		1.0	1.0	13563.662	
	10	4	42		0.0	0.0	14388.683	
	10	2	42		0.5	0.66	13572.761000000002	
	10	2	42		1.0	0.33	13563.662	
	10	2	42		0.5	0.33	13814.495	
	10	3	42		1.0	0.33	14092.348999999998	
	10	4	42		0.5	0.33	13961.573	
	10	3	42		0.5	0.33	14343.856	
	10	2	42		1.0	0.66	13563.662	
	10	4	42		0.5	1.0	13852.972	
	10	4	42		0.5	0.66	13803.457	
	10	3	42		0.5	0.66	13463.894	
	10	3	42		0.0	0.0	14106.122999999998	
	10	2	42		0.0	0.0	13572.761000000002	
	10	4	42		1.0	0.66	14409.901999999998	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	3	42	100	1.0	0.66	00:00:00.00	
	10	3	42	200	1.0	0.66	00:00:00.00	
	10	3	42	500	1.0	0.66	00:00:00.00	
	10	3	42	400	1.0	0.66	00:00:00.00	
	10	3	42	300	1.0	0.66	00:00:00.00	
	10	4	42	100	1.0	1.0	00:00:02.00	
	10	4	42	200	1.0	1.0	00:00:02.00	
	10	4	42	500	1.0	1.0	00:00:02.00	
	10	4	42	400	1.0	1.0	00:00:02.00	
	10	4	42	300	1.0	1.0	00:00:02.00	
	10	3	42	100	0.5	1.0	00:02:26.00	
	10	3	42	200	0.5	1.0	00:02:26.00	
	10	3	42	500	0.5	1.0	00:02:26.00	
	10	3	42	400	0.5	1.0	00:02:26.00	
	10	3	42	300	0.5	1.0	00:02:26.00	
	10	3	42	100	1.0	1.0	00:00:47.00	
	10	3	42	200	1.0	1.0	00:00:47.00	
	10	3	42	500	1.0	1.0	00:00:47.00	
	10	3	42	400	1.0	1.0	00:00:47.00	
	10	3	42	300	1.0	1.0	00:00:47.00	
	10	2	42	100	0.5	1.0	00:25:04.00	
	10	2	42	200	0.5	1.0	00:25:04.00	
	10	2	42	500	0.5	1.0	00:25:04.00	
	10	2	42	400	0.5	1.0	00:25:04.00	
	10	2	42	300	0.5	1.0	00:25:04.00	
	10	4	42	100	1.0	0.33	00:00:00.00	
	10	4	42	200	1.0	0.33	00:00:00.00	
	10	4	42	500	1.0	0.33	00:00:00.00	
	10	4	42	400	1.0	0.33	00:00:00.00	
	10	4	42	300	1.0	0.33	00:00:00.00	
	10	2	42	100	1.0	1.0	00:23:40.00	
	10	2	42	200	1.0	1.0	00:23:40.00	
	10	2	42	500	1.0	1.0	00:23:40.00	
	10	2	42	400	1.0	1.0	00:23:40.00	
	10	2	42	300	1.0	1.0	00:23:40.00	
	10	4	42	100	0.0	0.0	00:00:00.00	
	10	4	42	200	0.0	0.0	00:00:00.00	
	10	4	42	500	0.0	0.0	00:00:00.00	
	10	4	42	400	0.0	0.0	00:00:00.00	
	10	4	42	300	0.0	0.0	00:00:00.00	
	10	2	42	100	0.5	0.66	00:08:14.00	
	10	2	42	200	0.5	0.66	00:08:14.00	
	10	2	42	500	0.5	0.66	00:08:14.00	
	10	2	42	400	0.5	0.66	00:08:14.00	
	10	2	42	300	0.5	0.66	00:08:14.00	
	10	2	42	100	1.0	0.33	00:08:07.00	
	10	2	42	200	1.0	0.33	00:08:07.00	
	10	2	42	500	1.0	0.33	00:08:07.00	
	10	2	42	400	1.0	0.33	00:08:07.00	
	10	2	42	300	1.0	0.33	00:08:07.00	
	10	2	42	100	0.5	0.33	00:24:39.00	
	10	2	42	200	0.5	0.33	00:24:39.00	
	10	2	42	500	0.5	0.33	00:24:39.00	
	10	2	42	400	0.5	0.33	00:24:39.00	
	10	2	42	300	0.5	0.33	00:24:39.00	
	10	3	42	100	1.0	0.33	00:00:00.00	
	10	3	42	200	1.0	0.33	00:00:00.00	
	10	3	42	500	1.0	0.33	00:00:00.00	
	10	3	42	400	1.0	0.33	00:00:00.00	
	10	3	42	300	1.0	0.33	00:00:00.00	
	10	4	42	100	0.5	0.33	00:04:21.00	
	10	4	42	200	0.5	0.33	00:04:21.00	
	10	4	42	500	0.5	0.33	00:04:21.00	
	10	4	42	400	0.5	0.33	00:04:21.00	
	10	4	42	300	0.5	0.33	00:04:21.00	
	10	3	42	100	0.5	0.33	00:05:56.00	
	10	3	42	200	0.5	0.33	00:05:56.00	
	10	3	42	500	0.5	0.33	00:05:56.00	
	10	3	42	400	0.5	0.33	00:05:56.00	
	10	3	42	300	0.5	0.33	00:05:56.00	
	10	2	42	100	1.0	0.66	00:08:07.00	
	10	2	42	200	1.0	0.66	00:08:07.00	
	10	2	42	500	1.0	0.66	00:08:07.00	
	10	2	42	400	1.0	0.66	00:08:07.00	
	10	2	42	300	1.0	0.66	00:08:07.00	
	10	4	42	100	0.5	1.0	00:06:41.00	
	10	4	42	200	0.5	1.0	00:06:41.00	
	10	4	42	500	0.5	1.0	00:06:41.00	
	10	4	42	400	0.5	1.0	00:06:41.00	
	10	4	42	300	0.5	1.0	00:06:41.00	
	10	4	42	100	0.5	0.66	00:00:14.00	
	10	4	42	200	0.5	0.66	00:00:14.00	
	10	4	42	500	0.5	0.66	00:00:14.00	
	10	4	42	400	0.5	0.66	00:00:14.00	
	10	4	42	300	0.5	0.66	00:00:14.00	
	10	3	42	100	0.5	0.66	00:00:00.00	
	10	3	42	200	0.5	0.66	00:00:00.00	
	10	3	42	500	0.5	0.66	00:00:00.00	
	10	3	42	400	0.5	0.66	00:00:00.00	
	10	3	42	300	0.5	0.66	00:00:00.00	
	10	3	42	100	0.0	0.0	00:00:00.00	
	10	3	42	200	0.0	0.0	00:00:00.00	
	10	3	42	500	0.0	0.0	00:00:00.00	
	10	3	42	400	0.0	0.0	00:00:00.00	
	10	3	42	300	0.0	0.0	00:00:00.00	
	10	2	42	100	0.0	0.0	00:08:14.00	
	10	2	42	200	0.0	0.0	00:08:14.00	
	10	2	42	500	0.0	0.0	00:08:14.00	
	10	2	42	400	0.0	0.0	00:08:14.00	
	10	2	42	300	0.0	0.0	00:08:14.00	
	10	4	42	100	1.0	0.66	00:00:00.00	
	10	4	42	200	1.0	0.66	00:00:00.00	
	10	4	42	500	1.0	0.66	00:00:00.00	
	10	4	42	400	1.0	0.66	00:00:00.00	
	10	4	42	300	1.0	0.66	00:00:00.00	

